positionName,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,createTime,district,salary,workYear,jobNature,education,positionAdvantage,imState,score,matchScore,famousCompany
数据分析,50-150人,"移动互联网,电商",A轮,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:00,余杭区,37500,1-3年,全职,本科,五险一金、弹性工作、带薪年假、年度体检,today,233,15.101875,FALSE
数据建模,150-500人,电商,B轮,"['年终奖金', '做五休二', '六险一金', '子女福利']",开发|测试|运维类,数据开发,建模,2020/3/16 11:08,滨江区,15000,3-5年,全职,本科,"六险一金,定期体检,丰厚年终",disabled,176,32.559414,FALSE
数据分析,2000人以上,"移动互联网,企业服务",上市公司,"['节日礼物', '年底双薪', '股票期权', '带薪年假']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:33,江干区,3500,1-3年,全职,本科,五险一金 周末双休 不加班 节日福利,today,80,14.972357,FALSE
数据分析,500-2000人,电商,D轮及以上,"['生日趴', '每月腐败基金', '每月补贴', '年度旅游']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:10,江干区,45000,3-5年,全职,本科,年终奖等,threeDays,68,12.874153,TRUE
数据分析,2000人以上,物流丨运输,上市公司,"['技能培训', '免费班车', '专项奖金', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,2020/3/16 9:56,余杭区,30000,3-5年,全职,大专,五险一金,disabled,66,12.755375,TRUE
数据分析,50-150人,"移动互联网,社交",B轮,"['股票期权', '扁平管理', '五险一金', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,2020/3/16 9:54,余杭区,50000,1-3年,全职,本科,团建 野生蹦迪 文艺咖 声音发烧友,threeDays,66,12.718732,FALSE
数据分析,50-150人,"移动互联网,电商",A轮,"['大牛团队', '扁平管理', '年底双薪', '股票期权']",产品|需求|项目类,数据分析,数据分析,2020/3/16 9:41,萧山区,30000,1-3年,全职,本科,大牛团队 大数据产品,threeDays,65,12.615116,FALSE
数据建模工程师,500-2000人,移动互联网,上市公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",开发|测试|运维类,数据开发,建模,2020/3/16 11:18,西湖区,35000,应届毕业生,全职,不限,16-18薪 大数据A股上市公司,today,47,3.0332372,TRUE
数据分析专家,150-500人,"数据服务,广告营销",A轮,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",产品|需求|项目类,数据分析,其他数据分析,2020/3/16 10:57,余杭区,60000,5-10年,全职,本科,六险一金、境内外旅游、带薪年假、培训发展,today,24,1.1419516,FALSE
数据分析师,500-2000人,移动互联网,上市公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",开发|测试|运维类,数据开发,BI工程师,2020/3/16 11:18,西湖区,40000,1-3年,全职,本科,核心业务，季度奖，年终奖,today,18,1.177361,TRUE
数据分析师,150-500人,"数据服务,广告营销",A轮,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:57,余杭区,30000,不限,全职,本科,六险一金 旅游 带薪年假 培训发展 双休,today,17,1.1618694,FALSE
大数据分析工程师(J11108),2000人以上,"移动互联网,企业服务",上市公司,"['技能培训', '年底双薪', '带薪年假', '岗位晋升']",开发|测试|运维类,数据开发,数据分析,2020/3/16 9:25,西湖区,30000,应届毕业生,全职,本科,六险一金 带薪年假 年度体检 周末双休,today,17,4.2450657,FALSE
数据分析工程师,500-2000人,移动互联网,上市公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",开发|测试|运维类,数据开发,数据分析,2020/3/16 11:18,西湖区,20000,不限,全职,本科,16-18薪 大数据A股上市公司,today,16,1.0910506,TRUE
资深数据分析师,150-500人,"数据服务,广告营销",A轮,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:57,余杭区,30000,3-5年,全职,本科,六险一金 旅游 带薪年假 培训发展 双休,today,16,1.0755591,FALSE
数据分析师,2000人以上,企业服务,上市公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:59,西湖区,37500,1-3年,全职,硕士,SaaS行业前景,today,16,1.0534283,TRUE
产品运营（偏数据分析）,2000人以上,企业服务,上市公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",运营|编辑|客服类,运营,数据运营,2020/3/16 10:59,西湖区,27500,3-5年,全职,本科,上市公司 五险一金 氛围好 发展空间,today,15,1.0158058,TRUE
资深数据分析师（杭州）,2000人以上,企业服务,上市公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:59,西湖区,37500,3-5年,全职,本科,行业前景，晋升空间,today,15,1.0091666,TRUE
大数据建模总监,150-500人,电商,B轮,"['年终奖金', '做五休二', '六险一金', '子女福利']",开发|测试|运维类,数据开发,建模,2020/3/16 11:08,滨江区,37500,不限,全职,本科,福利待遇、准上市,disabled,14,2.7194543,FALSE
数据建模专家-杭州-01546,500-2000人,"信息安全,数据服务",D轮及以上,"['技能培训', '股票期权', '绩效奖金', '岗位晋升']",开发|测试|运维类,数据开发,建模,2020/3/16 11:17,余杭区,30000,3-5年,全职,本科,"六险一金,年终奖,带薪年假",today,12,3.0332372,FALSE
数据分析专家（游戏业务）,2000人以上,"移动互联网,游戏",不需要融资,"['五险一金', '交通补助', '绩效奖金', '节日礼物']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:19,西湖区,37500,3-5年,全职,本科,下午茶；六险一金；筑巢计划,today,12,0.8343329,TRUE
资深数据分析师,2000人以上,"移动互联网,游戏",不需要融资,"['五险一金', '交通补助', '绩效奖金', '节日礼物']",产品|需求|项目类,高端产品职位,数据分析专家,2020/3/16 10:10,西湖区,27500,3-5年,全职,本科,"六险一金,餐补,交通补,住房贷款",disabled,12,0.8299067,TRUE
数据分析专家,150-500人,数据服务,不需要融资,"['专业红娘牵线', '节日礼物', '技能培训', '岗位晋升']",开发|测试|运维类,数据开发,数据分析,2020/3/16 11:16,滨江区,20000,5-10年,全职,本科,五险一金,today,7,1.2902282,FALSE
数据分析经理,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品|需求|项目类,产品经理,其他产品经理,2020/3/16 11:03,滨江区,30000,不限,全职,本科,六险一金，餐补，租房补贴，带薪休假,threeDays,7,1.2880152,TRUE
数据分析专家,50-150人,移动互联网,未融资,[],产品|需求|项目类,数据分析,数据分析,2020/3/16 10:58,余杭区,22500,5-10年,全职,不限,平台稳定，利于发展,today,6,1.2835891,FALSE
数据分析师,50-150人,"移动互联网,金融",A轮,"['股票期权', '带薪年假', '绩效奖金', '年底双薪']",开发|测试|运维类,数据开发,数据分析,2020/3/16 11:34,余杭区,27500,1-3年,全职,本科,晋升空间、季度奖金、明星团队、扁平管理,today,6,1.1906395,FALSE
数据分析师,150-500人,"企业服务,移动互联网",天使轮,"['带薪年假', '年轻团队', '股票期权', '下午茶']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:09,余杭区,45000,3-5年,全职,本科,五险一金、周末双休、定期团建、下午茶,disabled,6,1.1817873,FALSE
数据分析专家,150-500人,"金融,电商",C轮,"['持牌金融机构', '跨境支付', '跨境金融', '国际化团队']",开发|测试|运维类,数据开发,数据分析,2020/3/16 11:26,滨江区,32500,3-5年,全职,本科,"持牌机构,国内**,跨境金融,独角兽",today,6,1.1640825,FALSE
数据分析经理,2000人以上,硬件,不需要融资,"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:24,西湖区,30000,5-10年,全职,本科,"股票期权,千万级用户,试用期全薪",today,6,1.1640825,TRUE
数据分析师,150-500人,社交,不需要融资,"['绩效奖金', '带薪年假', '交通补助', '午餐补助']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:48,滨江区,37500,3-5年,全职,本科,双休、最高公积金、15薪起、氛围活跃,disabled,6,1.1640825,FALSE
数据分析师,500-2000人,消费生活,D轮及以上,"['六险一金', '快乐高效文化', '绩效奖金', '信任']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:28,西湖区,45000,1-3年,全职,本科,福利佳、发展空间大,today,6,1.1463778,TRUE
数据分析师,500-2000人,消费生活,D轮及以上,"['六险一金', '快乐高效文化', '绩效奖金', '信任']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:28,西湖区,37500,1-3年,全职,本科,福利佳、发展空间大,today,6,1.1465408,TRUE
店铺数据分析师,150-500人,"移动互联网,电商",B轮,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",市场|商务类,市场|营销,商业数据分析,2020/3/16 11:26,下沙,30000,3-5年,全职,大专,福利齐全 晋升空间大 精英团队 双休,threeDays,6,1.097846,FALSE
资深数据分析师,150-500人,"数据服务,广告营销",A轮,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:57,余杭区,37500,3-5年,全职,本科,六险一金 旅游 带薪年假 培训发展 双休,today,16,1.0757121,FALSE
数据分析师（社招）,500-2000人,移动互联网,上市公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:18,西湖区,30000,应届毕业生,全职,不限,16-18薪 大数据A股上市公司,today,15,1.0203772,TRUE
商业数据分析师,50-150人,"移动互联网,企业服务",B轮,"['定期体检', '帅哥多', '领导好', '美女多']",市场|商务类,市场|营销,商业数据分析,2020/3/16 11:13,西湖区,30000,1-3年,全职,硕士,"发挥空间大,职业发展好",today,5,1.0956326,FALSE
bi数据分析师,2000人以上,物流丨运输,D轮及以上,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",开发|测试|运维类,数据开发,BI工程师,2020/3/16 10:56,西湖区,40000,不限,全职,本科,"数据量大,业务价值高,弹性工作,朝阳企业",today,5,1.0779254,FALSE
浙江数据分析师,150-500人,"金融,数据服务",D轮及以上,"['年底双薪', '午餐补助', '年终分红', '绩效奖金']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:48,西湖区,37500,1-3年,全职,本科,发展空间,today,5,1.0801389,FALSE
数据分析师,150-500人,数据服务,不需要融资,"['专业红娘牵线', '节日礼物', '技能培训', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:16,滨江区,22500,1-3年,全职,本科,五险一金,today,5,1.0602182,FALSE
数据分析师,150-500人,"企业服务,移动互联网",天使轮,"['带薪年假', '年轻团队', '股票期权', '下午茶']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:09,余杭区,37500,3-5年,全职,本科,五险一金、周末双休、定期团建、下午茶,disabled,5,1.0557915,FALSE
数据分析师,50-150人,"移动互联网,数据服务",不需要融资,"['年底双薪', '定期体检', '午餐补助', '交通补助']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:44,余杭区,37500,3-5年,全职,本科,五险一金；晋升机会,threeDays,5,1.0491512,FALSE
高级数据分析师,150-500人,移动互联网,不需要融资,"['技术大牛', '领导nice', '帅哥美女', '环境超棒']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:08,滨江区,20000,3-5年,全职,不限,福利待遇,today,5,1.0225904,FALSE
数据分析师（财务方向）,150-500人,消费生活,C轮,[],产品|需求|项目类,数据分析,数据分析,2020/3/16 10:52,余杭区,37500,3-5年,全职,本科,准独角兽企业 社群电商 五险一金,disabled,5,1.0115235,FALSE
资深数据分析师,150-500人,游戏,不需要融资,"['年底双薪', '专项奖金', '提供三餐', '便捷班车']",开发|测试|运维类,数据开发,数据分析,2020/3/16 11:32,西湖区,24000,5-10年,全职,本科,"班车,年终奖,提供三餐",today,5,0.98496264,FALSE
财务数据分析师,150-500人,"移动互联网,电商",不需要融资,"['年终分红', '绩效奖金', '定期体检', '年底双薪']",综合职能|高级管理,财务,财务风控,2020/3/16 10:43,滨江区,45000,3-5年,全职,本科,发展前景,today,5,1.0004565,FALSE
银行数据分析岗,2000人以上,企业服务,上市公司,"['五险一金', '通讯津贴', '带薪年假', '定期体检']",开发|测试|运维类,数据开发,数据分析,2020/3/16 11:25,滨江区,50000,1-3年,全职,不限,"金融科技,学习环境,提升空间,大平台",today,5,0.9827492,FALSE
金融数据分析师,500-2000人,电商,D轮及以上,"['生日趴', '每月腐败基金', '每月补贴', '年度旅游']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:36,江干区,22500,3-5年,全职,本科,"平台大,机会多,重点项目",today,5,0.99588984,TRUE
商业数据分析师,50-150人,"移动互联网,企业服务",B轮,"['定期体检', '帅哥多', '领导好', '美女多']",市场|商务类,市场|营销,商业数据分析,2020/3/16 11:13,西湖区,45000,1-3年,全职,硕士,"发挥空间大,职业发展好",today,5,0.9803982,FALSE
数据分析师/BI,150-500人,"电商,移动互联网",不需要融资,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']",开发|测试|运维类,数据开发,数据分析,2020/3/16 11:00,滨江区,45000,1-3年,全职,本科,"六险一金，定期体检,团队活动,地铁站边",today,5,0.97597206,FALSE
数据分析专员,2000人以上,"电商,消费生活",上市公司,"['午餐补助', '带薪年假', '定期体检', '年度旅游']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:00,西湖区,22500,3-5年,全职,大专,上市公司,threeDays,5,0.9781851,FALSE
高级财务数据分析师,2000人以上,汽车丨出行,D轮及以上,"['技能培训', 'Geek', '开放', '扁平管理']",综合职能|高级管理,财务,财务,2020/3/16 10:45,余杭区,27500,3-5年,全职,本科,餐补，带薪年假，节日礼品，定期体检,today,5,0.94941497,TRUE
数据分析师 (MJ000250),150-500人,数据服务,B轮,"['股票期权', '弹性工作', '领导好', '五险一金']",产品|需求|项目类,产品经理,数据分析师,2020/3/16 10:49,西湖区,27500,3-5年,全职,不限,阿里系创业、云计算生态、餐补、双休,today,5,0.9472019,FALSE
