positionName,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,createTime,district,salary,workYear,jobNature,education,positionAdvantage,imState,score,matchScore,famousCompany
数据分析专家03-10-217,2000人以上,汽车丨出行,D轮及以上,"['技能培训', 'Geek', '开放', '扁平管理']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:45,余杭区,22500,5-10年,全职,本科,六险一金 大平台 独角兽,today,5,0.94498885,TRUE
解决方案顾问/数据分析师,150-500人,"企业服务,数据服务",B轮,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:33,余杭区,20000,1-3年,全职,本科,牛人团队 成长空间 期权激励 独当一面,disabled,5,0.92285794,FALSE
数据分析师,2000人以上,教育,上市公司,"['绩效奖金', '定期体检', '提供宿舍', '管理规范']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:06,滨江区,30000,不限,全职,不限,发展潜力大,overSevenDays,5,1.1795762,FALSE
数据分析专家,50-150人,"移动互联网,消费生活",未融资,"['年底双薪', '专项奖金', '美女多', '弹性工作']",产品|需求|项目类,高端产品职位,数据分析专家,2020/3/16 9:38,拱墅区,30000,5-10年,全职,本科,领导NICE,today,5,0.96269345,FALSE
高级数据分析师,150-500人,移动互联网,不需要融资,"['技术大牛', '领导nice', '帅哥美女', '环境超棒']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:08,滨江区,30000,3-5年,全职,不限,福利待遇,today,4,0.91400564,FALSE
资深数据分析师 (MJ000088),150-500人,电子商务,不需要融资,"['带薪年假', '绩效奖金', '定期体检', '弹性工作']",开发|测试|运维类,数据开发,数据分析,2020/3/16 11:12,西湖区,25000,5-10年,全职,本科,福利待遇佳，职位前景好,today,4,0.9095794,FALSE
数据分析师,500-2000人,消费生活,不需要融资,[],产品|需求|项目类,数据分析,数据分析,2020/3/16 10:43,滨江区,37500,3-5年,全职,不限,大平台 ，世界五百强,threeDays,4,1.1618714,FALSE
财务数据分析师,150-500人,"移动互联网,电商",不需要融资,"['年终分红', '绩效奖金', '定期体检', '年底双薪']",综合职能|高级管理,财务,财务风控,2020/3/16 10:43,滨江区,30000,3-5年,全职,本科,发展前景,today,4,0.9073663,FALSE
数据分析实习生,150-500人,"企业服务,数据服务",B轮,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']",开发|测试|运维类,数据开发,数据分析,2020/3/16 11:33,余杭区,30000,应届毕业生,实习,本科,牛人团队 成长空间 期权激励 独当一面,disabled,4,1.1109705,FALSE
数据分析师（保险）13-01-19,2000人以上,汽车丨出行,D轮及以上,"['技能培训', 'Geek', '开放', '扁平管理']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:45,余杭区,40000,不限,全职,不限,餐补，带薪年假，节日礼品，定期体检,today,4,0.85867685,TRUE
高级财务数据分析师,2000人以上,汽车丨出行,D轮及以上,"['技能培训', 'Geek', '开放', '扁平管理']",综合职能|高级管理,财务,财务,2020/3/16 10:45,余杭区,30000,3-5年,全职,本科,餐补，带薪年假，节日礼品，定期体检,today,4,0.8564637,TRUE
数据分析专家03-10-217,2000人以上,汽车丨出行,D轮及以上,"['技能培训', 'Geek', '开放', '扁平管理']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:45,余杭区,25000,5-10年,全职,本科,六险一金 大平台 独角兽,today,4,0.8564637,TRUE
数据分析师 (MJ000250),150-500人,数据服务,B轮,"['股票期权', '弹性工作', '领导好', '五险一金']",产品|需求|项目类,产品经理,数据分析师,2020/3/16 10:49,西湖区,27500,3-5年,全职,不限,阿里系创业、云计算生态、餐补、双休,today,4,0.8564637,FALSE
数据分析实习生,150-500人,"移动互联网,数据服务",未融资,"['弹性工作', '技能培训', '岗位晋升', '五险一金']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:47,余杭区,50000,应届毕业生,实习,本科,五险一金 能力培养,today,4,1.0777721,FALSE
解决方案顾问/数据分析师,150-500人,"企业服务,数据服务",B轮,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:33,余杭区,30000,1-3年,全职,本科,牛人团队 成长空间 期权激励 独当一面,disabled,4,0.8254806,FALSE
资深数据分析师（商品方向）G01053,500-2000人,"电商,移动互联网",上市公司,"['绩效奖金', '股票期权', '五险一金', '午餐补助']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:08,萧山区,45000,3-5年,全职,本科,绩效奖金,disabled,4,0.8343329,TRUE
资深数据分析师,2000人以上,电商,上市公司,"['节日礼物', '技能培训', '免费班车', '带薪年假']",产品|需求|项目类,数据分析,数据分析,2020/3/15 16:46,滨江区,30000,3-5年,全职,本科,"培训发展,团队氛围,薪酬福利",today,4,0.46032155,TRUE
数据分析负责人 or 数据分析师,2000人以上,"金融,电商",上市公司,"['带薪年假', '定期体检', '免费班车', '领导好']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:04,余杭区,30000,3-5年,全职,本科,PB量级数据 核心项目 食堂班车健身房,disabled,4,0.82626045,TRUE
资深数据分析/数据分析专家G00796,500-2000人,"电商,移动互联网",上市公司,"['绩效奖金', '股票期权', '五险一金', '午餐补助']",开发|测试|运维类,数据开发,数据分析,2020/3/16 9:32,萧山区,45000,3-5年,全职,不限,上市公司,today,4,0.84503907,TRUE
高级数据分析专员,2000人以上,"电商,消费生活",上市公司,"['午餐补助', '带薪年假', '定期体检', '年度旅游']",市场|商务类,市场|营销,商业数据分析,2020/3/16 10:00,西湖区,22500,1-3年,全职,不限,五险一金、双休,threeDays,4,0.8254806,FALSE
BI数据分析师,50-150人,"移动互联网,电商",天使轮,[],运营|编辑|客服类,运营,运营,2020/3/16 9:55,西湖区,6500,1-3年,全职,本科,老板nice 公司氛围好 发展空间大,threeDays,4,0.82326746,FALSE
BI数据分析师,500-2000人,"移动互联网,金融",B轮,"['弹性工作', '扁平管理', '领导好', '五险一金']",产品|需求|项目类,数据分析,BI,2020/3/16 9:46,拱墅区,24000,5-10年,全职,本科,带薪年假 / 五险一金 / 节假日福利,threeDays,4,0.8210544,FALSE
数据分析师,2000人以上,"消费生活,硬件",上市公司,"['定期体检', '五险一金', '专项奖金', '骨干家庭公寓']",产品|需求|项目类,数据分析,数据分析,2020/3/16 8:07,江干区,30000,3-5年,全职,本科,大平台免费住宿，免费班车，出国游学等,today,4,0.82769364,TRUE
数据分析-2020届春招,2000人以上,"金融,电商",上市公司,"['带薪年假', '定期体检', '免费班车', '领导好']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:04,余杭区,30000,不限,全职,本科,亿级流量，免费食堂班车健身房,disabled,4,0.77457964,TRUE
数据分析师,500-2000人,电商,C轮,"['扁平化管理', '技术驱动', '14薪', '六险一金']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:56,西湖区,27000,3-5年,全职,本科,团队氛围好 发展空间大,threeDays,4,1.0180197,TRUE
智能数据分析引擎研发专家,2000人以上,电商,上市公司,"['年底双薪', '带薪年假', '午餐补助', '弹性工作']",开发|测试|运维类,后端开发,Java,2020/3/16 10:08,余杭区,30000,5-10年,全职,本科,待遇丰厚，具有***数据处理技术视野,today,3,0.73253155,TRUE
数据分析师(J10147),2000人以上,电商,不需要融资,"['绩效奖金', '交通补助', '带薪年假', '定期体检']",产品|需求|项目类,产品经理,数据分析师,2020/3/16 9:55,滨江区,37500,1-3年,全职,本科,晋升快,threeDays,3,0.7258923,FALSE
数据分析实习生 (MJ000087),150-500人,数据服务,B轮,"['股票期权', '弹性工作', '领导好', '五险一金']",开发|测试|运维类,后端开发,数据采集,2020/3/16 10:49,西湖区,26500,应届毕业生,实习,本科,阿里系创业、云计算生态、餐补、双休,today,3,0.898513,FALSE
数据分析师,15-50人,数据服务,不需要融资,[],产品|需求|项目类,数据分析,数据分析,2020/3/16 10:19,西湖区,37500,1-3年,全职,本科,发展潜力，结合业务，项目制,overSevenDays,3,0.9029392,FALSE
业务与数据分析师,150-500人,"人工智能,数据服务",B轮,"['技能培训', '股票期权', '带薪年假', '绩效奖金']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:29,滨江区,30000,应届毕业生,全职,本科,"风口行业,五险一金,周末双休,福利多多",today,3,0.869743,FALSE
商业数据分析师（阿里数据银行）,50-150人,"移动互联网,广告营销",天使轮,"['节日礼物', '带薪年假', '绩效奖金', '五险一金']",市场|商务类,市场|营销,商业数据分析,2020/3/16 9:09,上城区,22500,1-3年,全职,本科,五险一金 周末双休 福利丰厚 带薪年假,today,3,0.6373689,FALSE
产品经理/数据分析（核心业务）-2020届春招,2000人以上,"金融,电商",上市公司,"['带薪年假', '定期体检', '免费班车', '领导好']",产品|需求|项目类,产品经理,产品经理,2020/3/16 10:04,余杭区,60000,不限,全职,本科,亿级流量 免费食堂班车健身房,today,3,0.5864679,TRUE
资深数据分析师,2000人以上,电商,上市公司,"['节日礼物', '技能培训', '免费班车', '带薪年假']",开发|测试|运维类,数据开发,数据分析,2020/3/16 8:00,滨江区,7500,3-5年,全职,本科,网易严选,today,3,0.6882698,TRUE
资深数据分析师,2000人以上,"电商,汽车丨出行",D轮及以上,"['阿里合资', '六险一金', '独角兽', '行业先驱']",市场|商务类,市场|营销,商业数据分析,2020/3/16 11:22,余杭区,7500,5-10年,全职,本科,阿里生态 行业独角兽,threeDays,2,0.8166289,FALSE
高级数据分析师,500-2000人,移动互联网,上市公司,"['包午餐晚餐', '奖金多多多', '零食下午茶', '全员出国游']",产品|需求|项目类,数据分析,数据分析,2020/3/14 21:28,西湖区,30000,3-5年,全职,本科,福利好，年轻有活力，行业前景好,today,2,0.3895032,FALSE
数据分析师-Lark,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品|需求|项目类,数据分析,其他数据分析,2020/3/15 18:27,余杭区,30000,3-5年,全职,本科,六险一金，弹性工作，免费三餐，租房补贴,today,2,0.5687632,TRUE
数据分析师-企业SaaS应用,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品|需求|项目类,数据分析,其他数据分析,2020/3/15 19:13,余杭区,40000,3-5年,全职,本科,六险一金，弹性工作，免费三餐，租房补贴,today,2,0.50900984,TRUE
资深数据分析师,500-2000人,移动互联网,A轮,"['岗位晋升', '年度旅游', '年底双薪', '午餐补助']",产品|需求|项目类,数据分析,数据分析,2020/3/15 19:43,西湖区,30000,3-5年,全职,大专,"六险一金,餐饮补贴,双休,出国旅游",today,1,0.5023706,FALSE
数据分析,500-2000人,其他,未融资,[],产品|需求|项目类,数据分析,数据分析,2020/3/10 11:16,拱墅区,30000,1-3年,全职,本科,数据分析,threeDays,1,1.8240006,FALSE
数据分析专家,50-150人,"电商,数据服务",未融资,[],开发|测试|运维类,数据开发,数据分析,2020/3/15 14:22,余杭区,50000,5-10年,全职,本科,氛围好、薪资优渥,today,1,0.5422072,FALSE
奔驰耀出行-战略数据分析师,150-500人,移动互联网,不需要融资,[],产品|需求|项目类,数据分析,数据分析,2020/3/15 20:15,滨江区,42500,1-3年,全职,不限,公司平台好、氛围nice,today,1,0.38950393,FALSE
资深数据分析专员,150-500人,数据服务,不需要融资,"['年底双薪', '带薪年假', '午餐补助', '定期体检']",开发|测试|运维类,数据开发,数据分析,2020/3/15 12:21,余杭区,30000,3-5年,全职,不限,阿里旗下、大数据,today,1,0.440405,FALSE
数据分析师,50-150人,企业服务,B轮,[],开发|测试|运维类,数据开发,数据分析,2020/3/15 16:06,余杭区,29000,3-5年,全职,本科,牛人团队 成长空间 期权激励 独当一面,today,1,0.49573228,FALSE
资深数据分析师,150-500人,数据服务,不需要融资,"['年底双薪', '带薪年假', '午餐补助', '定期体检']",开发|测试|运维类,数据开发,数据分析,2020/3/15 12:21,余杭区,30000,5-10年,全职,不限,阿里旗下、大数据,today,1,0.40720865,FALSE
数据建模工程师,150-500人,"移动互联网,游戏",A轮,"['带薪年假', '五险一金', '双休', '午餐补助']",开发|测试|运维类,数据开发,建模,2020/3/11 17:40,西湖区,37500,不限,全职,本科,行业领先 牛人多 福利丰厚,disabled,1,0.36300454,FALSE
数据分析专员,2000人以上,"移动互联网,广告营销",上市公司,"['节日礼物', '股票期权', '带薪年假', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,2020/3/14 15:10,拱墅区,30000,1-3年,全职,不限,"股票期权,绩效奖金,弹性工作,五险一金",threeDays,1,0.46032283,FALSE
旅游大数据分析师（杭州）,50-150人,"数据服务,企业服务",A轮,"['年底双薪', '股票期权', '午餐补助', '定期体检']",开发|测试|运维类,数据开发,数据治理,2020/3/12 16:38,上城区,30000,1-3年,全职,本科,管理扁平 潜力项目 五险一金 周末双休,sevenDays,1,0.8267557,FALSE
数据分析建模工程师,50-150人,"数据服务,信息安全",A轮,"['午餐补助', '带薪年假', '16到18薪', '法定节假日']",开发|测试|运维类,人工智能,机器学习,2020/3/14 19:00,西湖区,30000,1-3年,全职,本科,海量数据 全链路建模实践 16-18薪,threeDays,0,0.3563076,FALSE
数据分析建模工程师（校招）,50-150人,"数据服务,信息安全",A轮,"['午餐补助', '带薪年假', '16到18薪', '法定节假日']",开发|测试|运维类,人工智能,算法工程师,2020/3/14 19:00,西湖区,36500,应届毕业生,全职,本科,海量数据 全链路建模实践 16-18薪,threeDays,0,0.33860284,FALSE
数据分析师,500-2000人,"移动互联网,医疗丨健康",C轮,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",产品|需求|项目类,数据分析,数据分析,2020/3/11 16:45,萧山区,25000,3-5年,全职,不限,大牛老板，开放环境，民生行业，龙头公司,threeDays,0,0.31425884,FALSE
商业数据分析,500-2000人,"移动互联网,电商",C轮,"['节日礼物', '股票期权', '带薪年假', '年度旅游']",市场|商务类,市场|营销,商业数据分析,2020/3/14 17:38,余杭区,35000,1-3年,全职,硕士,五险一金、带薪休假,threeDays,0,0.28327557,FALSE
奔驰·耀出行-BI数据分析专家,150-500人,移动互联网,不需要融资,[],开发|测试|运维类,数据开发,数据分析,2020/3/14 22:39,滨江区,30000,3-5年,全职,本科,奔驰 吉利 世界500强,threeDays,0,0.2567185,FALSE
BI数据分析师,2000人以上,电商,上市公司,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",开发|测试|运维类,数据开发,数据分析,2020/3/9 15:00,余杭区,20000,3-5年,全职,本科,阿里巴巴；商业智能；,threeDays,0,0.28106248,TRUE
数据分析专家-LQ(J181203029),2000人以上,汽车丨出行,不需要融资,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",产品|需求|项目类,数据分析,其他数据分析,2020/3/13 18:24,西湖区,21500,5-10年,全职,本科,广阔平台诱人福利,disabled,0,0.15934253,TRUE