获奖时间,奖牌类型,运动员,国家id,运动类别
2021/8/8 16:44,1,塞尔维亚男子水球队,107,水球
2021/8/8 16:44,2,希腊男子水球队,171,水球
2021/8/8 15:34,1,法国女子手球队,144,手球
2021/8/8 15:34,2,俄奥委会女子手球队,23062,手球
2021/8/8 14:49,1,巴霍迪尔·贾洛洛夫,15,拳击
2021/8/8 14:49,2,理查德·托雷斯,5,拳击
2021/8/8 14:13,1,劳伦·普莱斯,211,拳击
2021/8/8 14:10,2,李倩,26,拳击
2021/8/8 14:07,1,美国女子排球队,5,排球
2021/8/8 14:07,2,巴西女子排球队,16,排球
2021/8/8 13:47,3,匈牙利男子水球队,28,水球
2021/8/8 13:38,2,凯肖恩·戴维斯,5,拳击
2021/8/8 13:38,1,安迪·克鲁兹,169,拳击
2021/8/8 13:19,1,凯莉·哈灵顿,19,拳击
2021/8/8 13:19,2,比阿特丽斯·伊斯敏·费雷拉,16,拳击
2021/8/8 12:08,1,美国女子篮球队,5,篮球
2021/8/8 12:08,2,日本女子篮球队,18,篮球
2021/8/8 12:00,1,詹妮弗·瓦伦特,5,场地自行车赛
2021/8/8 12:00,2,梶原悠未,18,场地自行车赛
2021/8/8 12:00,3,基尔斯滕·维尔德,1,场地自行车赛
2021/8/8 11:55,1,保加利亚艺术体操队,148,艺术体操
2021/8/8 11:55,2,ROC艺术体操队,23062,艺术体操
2021/8/8 11:55,3,意大利艺术体操队,6,艺术体操
2021/8/8 11:31,3,挪威女子手球队,153,手球
2021/8/8 11:10,1,贾森·肯尼,211,场地自行车赛
2021/8/8 11:10,2,穆赫德·阿齐兹·哈斯尼·阿旺,232,场地自行车赛
2021/8/8 11:10,3,哈里·拉夫雷森,1,场地自行车赛
2021/8/8 10:59,1,凯尔西·米切尔,159,场地自行车赛
2021/8/8 10:59,2,奥廖娜 ·斯塔里科娃,13,场地自行车赛
2021/8/8 10:59,3,李慧诗,38,场地自行车赛
2021/8/8 9:27,3,塞尔维亚女子排球队,107,排球
2021/8/8 8:15,1,埃鲁德·基普乔格,229,田径
2021/8/8 8:15,2,阿卜迪·拿塞,1,田径
2021/8/8 8:15,3,巴希尔·阿伯迪,147,田径
2021/8/7 22:52,1,法国男子排球队,144,排球
2021/8/7 22:52,2,俄奥委会男子排球队,23062,排球
2021/8/7 22:13,1,巴西男子足球队,16,足球
2021/8/7 22:13,2,西班牙男子足球队,145,足球
2021/8/7 21:39,1,法国男子手球队,144,手球
2021/8/7 21:39,2,丹麦男子手球队,152,手球
2021/8/7 21:19,2,尼科拉·麦克德莫特,157,田径
2021/8/7 21:19,3,雅罗斯拉娃 ·马胡奇赫,13,田径
2021/8/7 21:19,1,玛利亚·拉西茨肯,23062,田径
2021/8/7 21:12,2,美国男子棒球队,5,棒球
2021/8/7 21:12,1,日本男子棒球队,18,棒球
2021/8/7 21:08,1,迈克尔·谢利等,5,田径
2021/8/7 21:08,2,雷马维·博内法夏等,1,田径
2021/8/7 21:08,3,伊萨克·马夸拉等,250,田径
2021/8/7 20:50,3,澳大利亚男子篮球队,157,篮球
2021/8/7 20:43,1,麦克劳林等,5,田径
2021/8/7 20:43,2,维塔利娅·卡奇马雷克等,150,田径
2021/8/7 20:43,3,布莉安娜·威廉姆斯等,248,田径
2021/8/7 20:31,1,须崎优衣,18,自由式摔跤
2021/8/7 20:31,3,玛利亚·斯塔德尼克,214,自由式摔跤
2021/8/7 20:31,3,萨拉·安·希尔德布兰特,5,自由式摔跤
2021/8/7 20:27,3,乌古尔·阿克塔斯,33,空手道
2021/8/7 20:27,3,荒贺龙太郎,18,空手道
2021/8/7 20:27,1,塞贾德·甘杰扎德,87,空手道
2021/8/7 20:27,2,塔雷格·哈米迪,98,空手道
2021/8/7 20:26,2,孙亚楠,26,自由式摔跤
2021/8/7 20:14,1,费尔亚尔·阿卜杜拉齐兹,170,空手道
2021/8/7 20:14,2,伊琳娜·扎列茨卡,214,空手道
2021/8/7 20:14,3,索菲娅·贝鲁尔采娃,160,空手道
2021/8/7 20:14,1,尼拉吉·秋普拉,227,田径
2021/8/7 20:14,2,雅库布·瓦德勒杰,17,田径
2021/8/7 20:14,3,维特兹斯拉夫·维塞里,17,田径
2021/8/7 20:12,1,亨利克·冯·埃克曼等,154,马术-障碍赛
2021/8/7 20:12,2,劳拉·克劳特等,5,马术-障碍赛
2021/8/7 20:12,3,皮耶特·德福斯,147,马术-障碍赛
2021/8/7 19:52,1,阿卜杜尔拉希德·萨达拉维,23062,自由式摔跤
2021/8/7 19:52,2,凯尔·弗雷德里克·斯奈德,5,自由式摔跤
2021/8/7 19:52,3,雷内里斯·萨拉斯·佩雷斯,169,自由式摔跤
2021/8/7 19:52,3,亚伯拉罕·德赫苏斯·孔耶多·鲁阿诺,6,自由式摔跤
2021/8/7 19:49,1,雅各布 ·英格布里森,153,田径
2021/8/7 19:49,2,蒂莫西·切鲁约特,229,田径
2021/8/7 19:49,3,乔什·克尔,211,田径
2021/8/7 19:45,1,斯维特兰娜·罗玛思娜等,23062,花样游泳
2021/8/7 19:45,3,弗拉季斯拉娃·阿列克谢娃,13,花样游泳
2021/8/7 19:37,2,中国花样游泳队,26,花样游泳
2021/8/7 19:29,1,思凡·哈桑,1,田径
2021/8/7 19:29,2,卡尔基丹·格扎赫格内,215,田径
2021/8/7 19:29,3,莱特森贝特·吉迪,222,田径
2021/8/7 19:26,3,龚莉,26,空手道
2021/8/7 19:13,1,乙黑拓斗,18,自由式摔跤
2021/8/7 19:13,2,哈吉·阿利耶夫,214,自由式摔跤
2021/8/7 19:13,3,加兹穆拉德·拉希多夫,23062,自由式摔跤
2021/8/7 19:13,3,贝格朗·贝格朗,227,自由式摔跤
2021/8/7 18:57,1,约瑟夫·忠,211,现代五项
2021/8/7 18:57,2,艾哈迈德·埃尔根迪,170,现代五项
2021/8/7 18:57,3,俊雄太,106,现代五项
2021/8/7 17:35,1,利诺伊·阿什兰姆,29,艺术体操
2021/8/7 17:35,2,迪娜·阿维丽娜,23062,艺术体操
2021/8/7 17:35,3,阿丽娜·哈纳斯科,103,艺术体操
2021/8/7 17:31,3,西班牙男子手球队,145,手球
2021/8/7 17:08,1,拉塞·诺曼·汉森/迈克尔·莫科夫,152,场地自行车赛
2021/8/7 17:08,2,伊桑·海特/马修·沃尔斯,211,场地自行车赛
2021/8/7 17:08,3,本杰明·托马斯/多纳万·格隆丁,144,场地自行车赛
2021/8/7 16:50,3,法国女子篮球队,144,篮球
2021/8/7 16:34,1,美国女子水球队,5,水球
2021/8/7 16:34,2,西班牙女子水球队,145,水球
2021/8/7 15:28,3,汤姆·戴利,211,跳水
2021/8/7 15:24,1,曹缘,26,跳水
2021/8/7 15:24,2,杨健,26,跳水
2021/8/7 15:06,3,阿根廷男子排球队,24,排球
2021/8/7 15:01,3,多米尼加男子棒球队,141,棒球
2021/8/7 14:48,1,布塞纳兹·苏尔梅内利,33,拳击
2021/8/7 14:44,2,谷红,26,拳击
2021/8/7 14:12,1,赫伯特·苏萨,16,拳击
2021/8/7 14:12,2,亚历山大 ·卡兹尼亚克,13,拳击
2021/8/7 13:51,3,匈牙利女子水球队,28,水球
2021/8/7 13:35,1,斯托伊卡·彼得罗娃,148,拳击
2021/8/7 13:35,2,巴士纳兹·卡基罗格鲁,33,拳击
2021/8/7 13:24,1,加拉尔·亚法伊,211,拳击
2021/8/7 13:24,2,卡罗·帕拉姆,130,拳击
2021/8/7 13:17,1,妮莉·科达,5,高尔夫
2021/8/7 13:17,2,稻见萌宁,18,高尔夫
2021/8/7 13:17,3,宝璟·高,158,高尔夫
2021/8/7 12:30,1,美国男子篮球队,5,篮球
2021/8/7 12:30,2,法国男子篮球队,144,篮球
2021/8/7 11:44,1,马克斯·伦德施密特等,2,静水皮划艇
2021/8/7 11:44,2,索尔·克拉维奥托等,145,静水皮划艇
2021/8/7 11:44,3,塞缪尔·巴拉日等,14,静水皮划艇
2021/8/7 11:28,1,科扎克达努塔等,28,静水皮划艇
2021/8/7 11:28,2,马哈里塔·特斯什科维奇等,103,静水皮划艇
2021/8/7 11:28,3,卡罗琳娜·那亚等,150,静水皮划艇
2021/8/7 11:16,1,安德斯·摩尔/克里斯蒂安·瑟鲁姆,153,沙滩排球
2021/8/7 11:16,2,维亚切斯拉夫·克拉西尔尼科夫/奥列格·斯托亚诺夫斯基,23062,沙滩排球
2021/8/7 11:02,1,伊萨奎雅斯·奎罗斯·多斯·桑托斯,16,静水皮划艇
2021/8/7 11:02,3,塞尔希·塔诺夫斯基,23,静水皮划艇
2021/8/7 10:57,2,刘浩,26,静水皮划艇
2021/8/7 10:44,2,阿纳斯塔西娅·切特维里科娃/柳德米拉·卢赞,13,静水皮划艇
2021/8/7 10:44,3,劳伦斯·文森特·拉普安特/凯瑟琳·文森特,159,静水皮划艇
2021/8/7 10:40,1,徐诗晓/孙梦雅,26,静水皮划艇
2021/8/7 9:46,3,艾哈迈德·蒂扬/谢里夫·尤努瑟,278,沙滩排球
2021/8/7 7:36,1,佩雷斯·杰普基尔,229,田径
2021/8/7 7:36,2,布里吉德·科斯盖,229,田径
2021/8/7 7:36,3,莫莉·赛德尔,5,田径
2021/8/6 22:55,1,加拿大女子足球队,159,足球
2021/8/6 22:55,2,瑞典女子足球队,154,足球
2021/8/6 22:04,1,洛伦佐·帕塔等,6,田径
2021/8/6 22:04,2,吉津杜·乌贾等,211,田径
2021/8/6 22:04,3,阿伦·布朗等,159,田径
2021/8/6 21:40,1,布莉安娜·威廉姆斯等,248,田径
2021/8/6 21:40,2,贾维安·奥立芙等,5,田径
2021/8/6 21:40,3,亚莎·菲利普等,211,田径
2021/8/6 21:14,2,玛利亚·安德烈奇克,150,田径
2021/8/6 21:14,3,凯尔希·李·巴伯,157,田径
2021/8/6 21:10,2,野中生萌,18,攀岩
2021/8/6 21:10,3,野口启代,18,攀岩
2021/8/6 21:10,1,亚尼娅·甘布莱特,30,攀岩
2021/8/6 21:10,1,刘诗颖,26,田径
2021/8/6 21:01,1,菲斯·基皮耶贡,229,田径
2021/8/6 21:01,2,劳拉·姆伊尔,211,田径
2021/8/6 21:01,3,思凡 哈桑,1,田径
2021/8/6 20:55,1,路易吉·布萨,6,空手道
2021/8/6 20:55,2,拉斐尔·阿加耶夫,214,空手道
2021/8/6 20:55,3,斯坦尼斯拉夫 ·霍鲁纳,13,空手道
2021/8/6 20:55,3,加博尔·哈斯帕塔基,28,空手道
2021/8/6 20:45,1,乔瓦娜·普雷科维奇,107,空手道
2021/8/6 20:45,3,梅尔维·科班,33,空手道
2021/8/6 20:45,3,吉安娜·洛特菲,170,空手道
2021/8/6 20:42,1,萨伍娜·米勒,116,田径
2021/8/6 20:42,2,玛丽莱迪·保利诺,141,田径
2021/8/6 20:42,3,阿里森 费利克斯,5,田径
2021/8/6 20:42,2,派翠克·法兰兹卡等,2,乒乓球
2021/8/6 20:40,1,马龙/许昕/樊振东,26,乒乓球
2021/8/6 20:35,2,尹笑言,26,空手道
2021/8/6 20:34,1,向田真优,18,自由式摔跤
2021/8/6 20:34,3,瓦妮莎·卡拉迪辛斯卡雅,103,自由式摔跤
2021/8/6 20:34,3,巴特奥其林·包劳尔图亚,173,自由式摔跤
2021/8/6 20:30,2,庞倩玉,26,自由式摔跤
2021/8/6 20:24,1,约书亚·查普特盖,249,田径
2021/8/6 20:24,2,穆罕默德·艾哈迈德,159,田径
2021/8/6 20:24,3,保罗·切利莫,5,田径
2021/8/6 19:51,3,阿里·索福格鲁,33,空手道
2021/8/6 19:51,3,阿里尔·托雷斯·古铁雷斯,5,空手道
2021/8/6 19:51,1,清奈亮,18,空手道
2021/8/6 19:51,2,达米安·雨果·金特罗,145,空手道
2021/8/6 19:47,1,盖博·史蒂文森,5,自由式摔跤
2021/8/6 19:47,2,吉诺·彼特里亚什维利,163,自由式摔跤
2021/8/6 19:47,3,阿米尔·侯赛因·阿巴斯·扎雷,87,自由式摔跤
2021/8/6 19:47,3,塔哈·阿古尔,33,自由式摔跤
2021/8/6 19:29,1,荷兰女子曲棍球队,1,曲棍球
2021/8/6 19:29,2,阿根廷女子曲棍球队,24,曲棍球
2021/8/6 19:09,1,祖尔贝克·西达科夫,23062,自由式摔跤
2021/8/6 19:09,2,马戈梅德哈比卜·卡季马戈梅多夫,103,自由式摔跤
2021/8/6 19:09,3,凯尔·戴克,5,自由式摔跤
2021/8/6 19:09,3,贝克佐德·阿卜杜拉赫曼诺夫,15,自由式摔跤
2021/8/6 19:09,1,凯特·弗伦奇,211,现代五项
2021/8/6 19:09,2,劳拉·阿萨道斯凯特,7,现代五项
2021/8/6 19:09,3,萨罗尔塔·科瓦奇,28,现代五项
2021/8/6 19:04,3,墨西哥男子足球队,156,足球
2021/8/6 18:04,2,杰弗里·霍格兰,1,场地自行车赛
2021/8/6 18:04,3,杰克·卡林,211,场地自行车赛
2021/8/6 18:04,1,哈里·拉夫雷森,1,场地自行车赛
2021/8/6 17:17,1,安东内拉·潘米萨,6,田径
2021/8/6 17:17,2,桑德拉·阿瑞纳斯,12,田径
2021/8/6 17:01,3,刘虹,26,田径
2021/8/6 16:55,1,凯特·阿奇博尔德/劳拉·特罗特,211,场地自行车赛
2021/8/6 16:55,2,阿玛莉·迪德里克森/朱莉·莱斯,152,场地自行车赛
2021/8/6 16:55,3,古尔纳兹·哈通切娃/玛丽亚·诺沃洛兹卡娅,23062,场地自行车赛
2021/8/6 14:26,1,胡里奥·塞萨尔·拉·克鲁斯,169,拳击
2021/8/6 14:26,2,穆斯利姆·加季马戈梅多夫,23062,拳击
2021/8/6 14:26,3,大卫·尼卡,158,拳击
2021/8/6 14:26,3,阿布纳·特谢拉,16,拳击
2021/8/6 14:09,3,哈里·加塞德,157,拳击
2021/8/6 13:51,3,霍夫哈内斯·巴奇科夫,213,拳击
2021/8/6 13:35,3,泽恩菲拉·玛戈梅达莉耶娃,23062,拳击
2021/8/6 13:17,3,努奇卡·方缇恩,1,拳击
2021/8/6 12:42,3,日本,18,乒乓球
2021/8/6 11:24,3,安娜-弗朗西丝·托曼等,211,曲棍球
2021/8/6 11:19,1,阿利克斯·克莱曼/艾普若·罗斯,5,沙滩排球
2021/8/6 11:19,2,玛莉娅菲·阿塔乔/塔莉奎·克兰西,157,沙滩排球
2021/8/6 9:48,3,乔安娜·海德里希/阿努克·韦尔热-德普雷,149,沙滩排球
2021/8/6 8:25,1,达维德-托玛拉,150,田径
2021/8/6 8:25,2,乔纳森·希尔伯特,2,田径
2021/8/6 8:25,3,埃文·顿非,159,田径
2021/8/5 21:03,1,阿尔贝托·吉内斯·洛佩斯,145,攀岩
2021/8/5 21:03,2,纳撒尼尔·科尔曼,5,攀岩
2021/8/5 21:03,3,雅各布 ·舒伯特,151,攀岩
2021/8/5 20:52,2,凯文·格哈德,144,田径
2021/8/5 20:52,3,阿什利·莫洛尼,157,田径
2021/8/5 20:52,1,达米安·华纳,159,田径
2021/8/5 20:41,2,伊藤美诚/石川佳纯/平野美宇,18,乒乓球
2021/8/5 20:38,1,娜弗萨图 蒂亚姆,147,田径
2021/8/5 20:38,2,阿努克·维特尔,1,田径
2021/8/5 20:38,3,艾玛·奥斯特韦格尔,1,田径
2021/8/5 20:34,1,陈梦/王曼昱/孙颖莎,26,乒乓球
2021/8/5 20:33,1,川井梨纱子,18,自由式摔跤
2021/8/5 20:33,2,伊琳娜·库拉奇金娜,103,自由式摔跤
2021/8/5 20:21,3,海伦·马鲁利斯,5,自由式摔跤
2021/8/5 20:21,3,伊维琳娜·尼科洛娃,148,自由式摔跤
2021/8/5 20:17,1,伊维特·戈拉诺娃,148,空手道
2021/8/5 20:17,2,安泽利卡 ·特利乌加,13,空手道
2021/8/5 20:08,1,斯蒂芬·加德纳,116,田径
2021/8/5 20:08,2,安东尼·何塞·桑布拉诺,12,田径
2021/8/5 20:08,3,基拉尼 詹姆斯,142,田径
2021/8/5 20:04,1,史蒂文·达·科斯塔,144,空手道
2021/8/5 20:04,2,埃雷·萨姆丹,33,空手道
2021/8/5 20:01,1,凯蒂·纳吉奥特,5,田径
2021/8/5 20:01,2,安瑟莉卡 西多罗娃,23062,田径
2021/8/5 20:01,3,霍里 布里斯达勒,211,田径
2021/8/5 19:57,3,贝蒂娜·普朗克,151,空手道
2021/8/5 19:57,3,文姿云,31,空手道
2021/8/5 19:48,1,大卫 ·泰勒,5,自由式摔跤
2021/8/5 19:48,2,哈桑·亚兹达尼查拉蒂,87,自由式摔跤
2021/8/5 19:44,1,比利时男子曲棍球队,147,曲棍球
2021/8/5 19:44,2,澳大利亚男子曲棍球队,157,曲棍球
2021/8/5 19:40,3,达尔汗·阿萨迪洛夫,160,空手道
2021/8/5 19:40,3,阿卜杜勒·拉赫曼·阿尔马萨特法,123,空手道
2021/8/5 19:33,3,阿瑟·奈福诺夫,23062,自由式摔跤
2021/8/5 19:33,3,迈尔斯·纳泽姆·阿明,175,自由式摔跤
2021/8/5 19:12,1,扎武尔·乌格夫,23062,自由式摔跤
2021/8/5 19:12,2,拉维·库马尔,227,自由式摔跤
2021/8/5 19:10,1,桑德拉·桑切斯,145,空手道
2021/8/5 19:10,2,清水希容,18,空手道
2021/8/5 18:59,3,刘慕裳,38,空手道
2021/8/5 18:59,3,薇薇安娜·博塔罗,6,空手道
2021/8/5 18:57,3,阿塔斯 塞纳,160,自由式摔跤
2021/8/5 18:57,3,托马斯·吉尔曼,5,自由式摔跤
2021/8/5 18:06,3,美国女子足球队,5,足球
2021/8/5 17:41,1,马修·沃尔斯,211,场地自行车赛
2021/8/5 17:41,2,坎贝尔·斯图尔特,158,场地自行车赛
2021/8/5 17:41,3,埃利亚 维维亚尼,6,场地自行车赛
2021/8/5 17:11,1,马西莫·斯塔诺,6,田径
2021/8/5 17:11,2,池田向希,18,田径
2021/8/5 17:11,3,山西利和,18,田径
2021/8/5 17:00,1,莎恩·布拉斯彭宁克斯,1,场地自行车赛
2021/8/5 17:00,2,埃利斯·安德鲁斯,158,场地自行车赛
2021/8/5 17:00,3,劳瑞安·杰内斯特,159,场地自行车赛
2021/8/5 15:23,3,麦丽莎 吴,157,跳水
2021/8/5 15:19,1,全红婵,26,跳水
2021/8/5 15:18,2,陈芋汐,26,跳水
2021/8/5 15:02,2,杜克·雷根,5,拳击
2021/8/5 15:02,3,拉萨罗·阿尔瓦雷斯,169,拳击
2021/8/5 15:02,3,塞缪尔·塔基,83,拳击
2021/8/5 15:02,1,阿尔伯特·巴特尔加齐耶夫,23062,拳击
2021/8/5 14:44,3,格莱布·巴克希,23062,拳击
2021/8/5 14:28,3,欧米尔·马夏尔,130,拳击
2021/8/5 14:11,3,萨肯·比博西诺夫,160,拳击
2021/8/5 13:52,3,田中亮明,18,拳击
2021/8/5 13:36,3,米拉·波特科宁,161,拳击
2021/8/5 13:23,3,素达蓬·西颂迪,101,拳击
2021/8/5 12:39,3,杜凯琹/苏慧音/李皓晴,38,乒乓球
2021/8/5 12:14,1,基根·帕默,157,滑板
2021/8/5 12:14,2,佩德罗·巴罗斯,16,滑板
2021/8/5 12:14,3,科里·朱诺,5,滑板
2021/8/5 12:04,1,吉恩·凡·德尔·韦斯特曾/托马斯·格林,157,静水皮划艇
2021/8/5 12:04,2,马克斯·霍夫/雅各布·肖普夫,2,静水皮划艇
2021/8/5 12:04,3,约瑟夫·多斯塔尔/拉德克·斯洛夫,17,静水皮划艇
2021/8/5 11:40,1,丽莎·卡灵顿,158,静水皮划艇
2021/8/5 11:40,2,塔玛拉·西佩斯,28,静水皮划艇
2021/8/5 11:40,3,艾玛·约根森,152,静水皮划艇
2021/8/5 11:35,3,印度男子曲棍球队,227,曲棍球
2021/8/5 11:31,1,佩德罗·皮查,10,田径
2021/8/5 11:31,3,胡格斯·法布里斯·赞戈,246,田径
2021/8/5 11:26,2,朱亚明,26,田径
2021/8/5 11:23,1,瑞安·克鲁瑟,5,田径
2021/8/5 11:23,2,乔· 科瓦克斯,5,田径
2021/8/5 11:23,3,托马斯·沃尔什,158,田径
2021/8/5 11:02,1,内文·哈里森,5,静水皮划艇
2021/8/5 11:02,2,劳伦斯·文森特·拉普安特,159,静水皮划艇
2021/8/5 11:02,3,柳德米拉·卢赞,13,静水皮划艇
2021/8/5 11:01,1,汉斯勒-帕尔奇曼,248,田径
2021/8/5 11:01,2,格兰特·霍洛威,5,田径
2021/8/5 11:01,3,罗纳德·利维,248,田径
2021/8/5 10:49,1,桑德尔·托特卡,28,静水皮划艇
2021/8/5 10:49,2,曼弗雷迪·里扎,6,静水皮划艇
2021/8/5 10:49,3,利亚姆·希思,211,静水皮划艇
2021/8/5 7:24,1,弗洛里安·韦尔布罗克,2,马拉松游泳
2021/8/5 7:24,2,克里斯托夫·拉索夫斯基,28,马拉松游泳
2021/8/5 7:24,3,格雷戈里奥·帕尔特里涅利,6,马拉松游泳
2021/8/4 21:03,1,安德烈·德·格拉斯,159,田径
2021/8/4 21:03,2,肯尼斯·贝德纳瑞克,5,田径
2021/8/4 21:03,3,诺亚·莱尔斯,5,田径
2021/8/4 20:38,1,拉沙·塔拉卡哈德泽,163,举重
2021/8/4 20:38,2,阿里·达沃迪,87,举重
2021/8/4 20:38,3,曼·阿萨德,100,举重
2021/8/4 20:32,1,川井友香子,18,自由式摔跤
2021/8/4 20:32,2,艾苏鲁·蒂尼别科娃,124,自由式摔跤
2021/8/4 20:32,3,伊琳娜·科利亚登科,13,自由式摔跤
2021/8/4 20:32,3,泰贝·尤赛因,148,自由式摔跤
2021/8/4 20:32,1,沃伊切赫·诺维奇,150,田径
2021/8/4 20:32,2,埃温德·亨里克森,153,田径
2021/8/4 20:32,3,帕维尔·法德克,150,田径
2021/8/4 20:17,1,伊曼纽尔·基普库瑞·科里尔,229,田径
2021/8/4 20:17,2,弗格森·洛蒂切,229,田径
2021/8/4 20:17,3,帕托克·多比克,150,田径
2021/8/4 19:55,1,本·马赫,211,马术-障碍赛
2021/8/4 19:55,2,佩德尔·弗雷德里克森,154,马术-障碍赛
2021/8/4 19:55,3,迈克尔·范·德·弗利特,1,马术-障碍赛
2021/8/4 19:47,1,斯韦特兰娜·科列什尼琴科/斯韦特兰娜·罗马丝娜,23062,花样游泳
2021/8/4 19:47,3,玛尔塔·菲迪娜/阿纳斯塔西娅 莎维楚克,13,花样游泳
2021/8/4 19:47,1,赞 ·贝勒钮科,13,古典式摔跤
2021/8/4 19:47,2,维克多·罗伦克兹,28,古典式摔跤
2021/8/4 19:47,3,丹尼斯·库德拉,2,古典式摔跤
2021/8/4 19:47,3,祖拉比·达图纳什维利,107,古典式摔跤
2021/8/4 19:43,2,黄雪辰/孙文雁,26,花样游泳
2021/8/4 19:20,1,佩鲁斯·切穆泰,249,田径
2021/8/4 19:20,2,考特尼·弗里希斯,5,田径
2021/8/4 19:20,3,海文·基扬,229,田径
2021/8/4 19:12,2,帕维兹 ·纳西博夫,13,古典式摔跤
2021/8/4 19:12,3,弗兰克·斯塔布勒,2,古典式摔跤
2021/8/4 19:12,3,穆罕默德·易卜拉欣·埃尔赛德·易卜拉欣,170,古典式摔跤
2021/8/4 19:12,1,穆罕默德·礼萨·杰雷,87,古典式摔跤
2021/8/4 17:19,1,西莫内·孔松尼等,6,场地自行车赛
2021/8/4 17:19,2,拉塞·诺曼·汉森等,152,场地自行车赛
2021/8/4 17:19,3,利·霍华德等,157,场地自行车赛
2021/8/4 15:46,1,汉娜·米尔斯/麦金太尔·马蒂亚斯,211,帆船
2021/8/4 15:46,2,阿格涅斯卡·斯克日普莱茨/乔兰塔·奥加,150,帆船
2021/8/4 15:46,3,卡米尔·莱康特/阿洛伊丝·雷托纳兹,144,帆船
2021/8/4 15:02,1,阿伦·洛佩兹卡多纳,169,拳击
2021/8/4 15:02,2,本·惠特克,211,拳击
2021/8/4 14:42,3,奥沙·拉纳·琼斯,5,拳击
2021/8/4 14:42,3,弗雷泽·克拉克,211,拳击
2021/8/4 14:42,3,卡姆谢别克·昆卡巴耶夫,160,拳击
2021/8/4 14:13,3,洛夫林娜·博尔戈汉,227,拳击
2021/8/4 14:13,1,马修·贝尔彻/威廉·瑞恩,157,帆船
